Inventory_ID,Store_ID,Product_ID,Stock_On_Hand,Reorder_Level,Safety_Stock,Inventory_Value,Last_Updated_Date,Update_Status,Is_Overstock
INV003458,ST07,P0096,53,90,44,5116.62,2025-12-10,Updated,No
INV004178,ST08,P0284,0,47,21,0.0,2025-12-22,Updated,No
INV003096,ST06,P0297,14,41,13,3862.88,2025-12-29,Updated,No
INV004531,ST09,P0083,36,89,40,1983.96,2025-12-04,Updated,No
INV004728,ST09,P0300,43,11,4,3114.06,2025-12-02,Updated,No
INV004020,ST08,P0103,29,36,16,16059.04,2025-12-08,Updated,No
INV006570,ST12,P0502,15,47,20,2568.75,2025-12-04,Updated,No
INV000690,ST02,P0099,36,71,24,17293.68,2025-12-17,Updated,No
INV004791,ST09,P0372,15,45,15,4545.9,2025-12-28,Updated,No
INV004915,ST09,P0505,19,46,18,3688.85,2025-12-16,Updated,No
INV000827,ST02,P0236,8,23,9,2680.48,2025-12-11,Updated,No
INV003500,ST07,P0138,453,82,28,13372.56,2025-12-18,Updated,Yes
INV001568,ST03,P0393,10,38,12,5332.7,2025-12-14,Updated,No
INV000936,ST02,P0345,10,37,12,3770.1,2025-12-29,Updated,No
INV002208,ST04,P0504,19,45,19,18639.0,2025-12-18,Updated,No
INV001850,ST04,P0097,13,44,18,430.82,2025-12-13,Updated,No
INV005624,ST11,P0060,73,88,29,2157.88,2025-12-24,Updated,No
INV005966,ST11,P0449,18,41,18,2089.62,2025-12-12,Updated,No
INV005804,ST11,P0268,27,45,20,7287.03,2025-12-17,Updated,No
INV002240,ST04,P0538,61,9,4,63695.59,2025-12-15,Updated,No
INV002299,ST05,P0007,15,33,9,8079.15,2025-12-27,Updated,No
INV006587,ST12,P0519,91,23,7,98649.46,2025-12-12,Updated,No
INV003515,ST07,P0155,12,34,11,4808.16,2025-12-12,Updated,No
INV002948,ST06,P0137,72,92,42,27609.84,2025-12-05,Updated,No
INV001145,ST02,P0554,50,10,4,57940.0,2025-12-10,Updated,No
INV000276,ST01,P0280,44,95,36,1113.2,2025-12-20,Updated,No
