Supplier_ID,Supplier_Name,City,Lead_Time_Days,Supplier_Rating
SUP001,Sharma Traders,Mumbai,7,4.1
SUP002,Rajasthan Distributors,Ahmedabad,9,1.8
SUP003,National FMCG Supplies,Mumbai,5,4.3
SUP004,Shree Ganesh Wholesale,Mumbai,5,4.0
SUP005,Apex Logistics & Supply,Jaipur,3,3.7
SUP006,Bharat Trading Co,Jaipur,3,4.1
SUP007,Marudhar Mart Suppliers,Delhi,7,4.4
SUP008,Pink City Distributors,Mumbai,15,2.5
SUP009,Aravalli Foods Pvt Ltd,Ahmedabad,8,3.8
SUP010,Jaipur Wholesale Hub,Jaipur,4,4.3
SUP011,Crystal Supply Chain,Ahmedabad,7,4.3
SUP012,Sunrise Trading Company,Jaipur,3,4.0
SUP013,Maharaja Distributors,Jaipur,11,3.0
SUP014,Rajputana Agro Foods,Ahmedabad,7,3.6
SUP015,Globex Supply Co,Delhi,11,2.6
SUP016,Vishal Enterprises,Delhi,5,4.0
SUP017,Gupta & Sons Trading,Delhi,6,4.8
SUP018,Patel Logistics Pvt Ltd,Ahmedabad,8,3.9
SUP019,Royal Mart Distributors,Ahmedabad,4,4.3
SUP020,Desert Rose Suppliers,Jaipur,3,3.6
SUP021,Krishna FMCG Distributors,Delhi,4,3.7
SUP022,Om Sai Traders,Jaipur,4,4.4
SUP023,Annapurna Wholesale,Jaipur,4,4.8
SUP024,Silverline Distributors,Ahmedabad,13,2.9
SUP025,Heritage Foods Supply Co,Delhi,6,4.8
SUP026,Metro Cash & Carry Suppliers,Jaipur,1,4.1
SUP027,Lotus Distributors,Ahmedabad,5,3.3
SUP028,Sapphire Trading Pvt Ltd,Mumbai,8,4.1
SUP029,Golden Gate Supplies,Jaipur,5,1.5
SUP030,Nationwide FMCG Co,Mumbai,5,3.6
SUP031,Star Mart Distributors,Jaipur,1,3.5
SUP032,Blue Sky Logistics,Jaipur,3,3.3
SUP033,Prime Source Trading,Ahmedabad,4,3.4
SUP034,Unity Wholesale Group,Ahmedabad,8,3.3
SUP035,Everest Distributors,Jaipur,4,4.4
SUP036,Indus Valley Traders,Delhi,4,3.6
SUP037,Continental Foods Supply,Mumbai,5,4.8
SUP038,Capital Mart Distributors,Ahmedabad,8,4.7
SUP039,Suncity Traders,Ahmedabad,4,3.2
SUP040,Vintage Foods Pvt Ltd,Mumbai,7,4.2
SUP041,Falcon Supply Chain,Delhi,12,4.0
SUP042,Diamond Distributors,Jaipur,2,3.9
SUP043,Trident Trading Co,Ahmedabad,8,4.2
SUP044,Pioneer Wholesale,Mumbai,9,3.9
SUP045,Greenfield Agro Suppliers,Delhi,6,4.1
SUP046,Silk Route Distributors,Ahmedabad,5,5.0
SUP047,Maple Leaf Trading,Mumbai,12,2.1
SUP048,Coral Bay Suppliers,Delhi,10,2.8
SUP049,Urban Mart Distributors,Mumbai,14,2.2
SUP050,Pearl City Traders,Delhi,4,4.3
SUP051,Ashoka Distributors,Mumbai,9,3.5
SUP052,Singh Inc,Mumbai,5,4.4
SUP053,Dhaliwal-Bassi,Jaipur,1,4.5
SUP054,Chowdhury PLC,Delhi,6,4.9
SUP055,Dewan and Sons,Mumbai,18,2.6
SUP056,"Bali, Bhat and Deshpande",Jaipur,1,4.7
SUP057,Wason Ltd,Mumbai,6,4.8
SUP058,Vora-Sachar,Delhi,5,4.1
SUP059,Chander Inc,Jaipur,7,2.5
SUP060,Rau LLC,Mumbai,7,4.5
SUP061,Jha LLC,Delhi,5,3.7
SUP062,Patla-Koshy,Delhi,3,4.4
SUP063,Kalla Group,Jaipur,4,4.7
SUP064,"Bhasin, Behl and Gole",Jaipur,3,3.9
SUP065,Desai-Jani,Jaipur,3,4.8
SUP066,Puri Inc,Delhi,3,4.1
SUP067,Wali Group,Ahmedabad,7,4.4
SUP068,"Kamdar, Johal and Sankaran",Delhi,7,3.7
SUP069,"Pillai, Hari and Narayanan",Mumbai,8,3.7
SUP070,"Kanda, Subramaniam and Barman",Jaipur,4,3.6
SUP071,Nayar-Memon,Ahmedabad,8,4.5
SUP072,Randhawa-Subramaniam,Delhi,3,3.8
SUP073,"Mutti, Kala and Chandran",Delhi,5,4.6
SUP074,Goda-Merchant,Jaipur,4,4.2
SUP075,Ghose and Sons,Jaipur,4,4.0
